nohup: ignoring input
Start loading file addresses ...
done! time: 0.9692201614379883
Number of images found: 289508
Start loading file addresses ...
done! time: 0.9842691421508789
Number of images found: 289508
out/inverse_mask_complete/model.pt
=> Loading checkpoint from local file...
Loaded model checkpoint.
Current best validation metric (fid_score): inf
[(levelname)s] [Epoch 01] it=1780, time=2.083, generator: 0.7455, discriminator: 1.1951, regularizer: 0.0706
[(levelname)s] [Epoch 01] it=1790, time=2.076, generator: 0.6537, discriminator: 1.1615, regularizer: 0.0772
[(levelname)s] [Epoch 01] it=1800, time=2.080, generator: 0.7482, discriminator: 1.1532, regularizer: 0.0719
[(levelname)s] Visualizing
[(levelname)s] [Epoch 01] it=1810, time=2.180, generator: 0.6713, discriminator: 1.1712, regularizer: 0.0754
[(levelname)s] [Epoch 01] it=1820, time=2.101, generator: 0.6118, discriminator: 1.2053, regularizer: 0.0759
[(levelname)s] [Epoch 01] it=1830, time=2.078, generator: 0.7399, discriminator: 1.1748, regularizer: 0.0753
[(levelname)s] [Epoch 01] it=1840, time=2.068, generator: 0.6326, discriminator: 1.2094, regularizer: 0.0865
[(levelname)s] [Epoch 01] it=1850, time=2.090, generator: 0.7133, discriminator: 1.1525, regularizer: 0.0708
[(levelname)s] [Epoch 01] it=1860, time=2.080, generator: 0.8126, discriminator: 1.1847, regularizer: 0.0739
[(levelname)s] [Epoch 01] it=1870, time=2.073, generator: 0.7641, discriminator: 1.1476, regularizer: 0.0774
[(levelname)s] [Epoch 01] it=1880, time=2.078, generator: 0.6478, discriminator: 1.1928, regularizer: 0.0751
[(levelname)s] [Epoch 01] it=1890, time=2.078, generator: 0.7815, discriminator: 1.1683, regularizer: 0.0727
[(levelname)s] [Epoch 01] it=1900, time=2.079, generator: 0.6963, discriminator: 1.1441, regularizer: 0.0815
[(levelname)s] [Epoch 01] it=1910, time=2.079, generator: 0.8128, discriminator: 1.1581, regularizer: 0.0681
[(levelname)s] [Epoch 01] it=1920, time=2.073, generator: 0.6469, discriminator: 1.1674, regularizer: 0.0751
[(levelname)s] [Epoch 01] it=1930, time=2.088, generator: 0.5909, discriminator: 1.1905, regularizer: 0.0885
[(levelname)s] [Epoch 01] it=1940, time=2.072, generator: 0.7083, discriminator: 1.1628, regularizer: 0.0793
[(levelname)s] [Epoch 01] it=1950, time=2.074, generator: 0.7156, discriminator: 1.2328, regularizer: 0.0748
[(levelname)s] [Epoch 01] it=1960, time=2.069, generator: 0.6882, discriminator: 1.1364, regularizer: 0.0764
[(levelname)s] [Epoch 01] it=1970, time=2.072, generator: 0.6484, discriminator: 1.1812, regularizer: 0.0718
[(levelname)s] [Epoch 01] it=1980, time=2.081, generator: 0.7680, discriminator: 1.1717, regularizer: 0.0711
[(levelname)s] [Epoch 01] it=1990, time=2.082, generator: 0.6753, discriminator: 1.1507, regularizer: 0.0774
[(levelname)s] [Epoch 01] it=2000, time=2.069, generator: 0.6792, discriminator: 1.1968, regularizer: 0.0785
[(levelname)s] Visualizing
[(levelname)s] Saving checkpoint
[(levelname)s] [Epoch 01] it=2010, time=2.238, generator: 0.7291, discriminator: 1.2092, regularizer: 0.0780
[(levelname)s] [Epoch 01] it=2020, time=2.090, generator: 0.6812, discriminator: 1.2001, regularizer: 0.0749
[(levelname)s] [Epoch 01] it=2030, time=2.087, generator: 0.6368, discriminator: 1.1886, regularizer: 0.0752
[(levelname)s] [Epoch 01] it=2040, time=2.083, generator: 0.7872, discriminator: 1.2235, regularizer: 0.0688
[(levelname)s] [Epoch 01] it=2050, time=2.086, generator: 0.6928, discriminator: 1.1892, regularizer: 0.0756
[(levelname)s] [Epoch 01] it=2060, time=2.084, generator: 0.7133, discriminator: 1.1589, regularizer: 0.0691
[(levelname)s] [Epoch 01] it=2070, time=2.085, generator: 0.6814, discriminator: 1.1960, regularizer: 0.0807
[(levelname)s] [Epoch 01] it=2080, time=2.093, generator: 0.6429, discriminator: 1.1695, regularizer: 0.0750
[(levelname)s] [Epoch 01] it=2090, time=2.093, generator: 0.6664, discriminator: 1.1577, regularizer: 0.0806
[(levelname)s] [Epoch 01] it=2100, time=2.098, generator: 0.6727, discriminator: 1.1756, regularizer: 0.0736
[(levelname)s] [Epoch 01] it=2110, time=2.074, generator: 0.6963, discriminator: 1.1528, regularizer: 0.0786
[(levelname)s] [Epoch 01] it=2120, time=2.095, generator: 0.6744, discriminator: 1.1548, regularizer: 0.0741
[(levelname)s] [Epoch 01] it=2130, time=2.085, generator: 0.6574, discriminator: 1.2162, regularizer: 0.0785
[(levelname)s] [Epoch 01] it=2140, time=2.081, generator: 0.7279, discriminator: 1.1884, regularizer: 0.0750
[(levelname)s] [Epoch 01] it=2150, time=2.082, generator: 0.6648, discriminator: 1.1733, regularizer: 0.0767
[(levelname)s] [Epoch 01] it=2160, time=2.087, generator: 0.7418, discriminator: 1.1872, regularizer: 0.0747
[(levelname)s] [Epoch 01] it=2170, time=2.094, generator: 0.7184, discriminator: 1.1388, regularizer: 0.0737
[(levelname)s] [Epoch 01] it=2180, time=2.087, generator: 0.7004, discriminator: 1.1632, regularizer: 0.0749
[(levelname)s] [Epoch 01] it=2190, time=2.087, generator: 0.8034, discriminator: 1.2108, regularizer: 0.0717
[(levelname)s] [Epoch 01] it=2200, time=2.086, generator: 0.7592, discriminator: 1.1623, regularizer: 0.0660
[(levelname)s] Visualizing
[(levelname)s] [Epoch 01] it=2210, time=2.176, generator: 0.7342, discriminator: 1.1679, regularizer: 0.0743
[(levelname)s] [Epoch 01] it=2220, time=2.086, generator: 0.7167, discriminator: 1.1425, regularizer: 0.0813
[(levelname)s] [Epoch 01] it=2230, time=2.095, generator: 0.6631, discriminator: 1.1216, regularizer: 0.0825
[(levelname)s] [Epoch 01] it=2240, time=2.086, generator: 0.6996, discriminator: 1.1733, regularizer: 0.0737
[(levelname)s] [Epoch 01] it=2250, time=2.074, generator: 0.7926, discriminator: 1.1996, regularizer: 0.0780
[(levelname)s] [Epoch 01] it=2260, time=2.087, generator: 0.8110, discriminator: 1.1860, regularizer: 0.0776
[(levelname)s] [Epoch 01] it=2270, time=2.064, generator: 0.7325, discriminator: 1.1572, regularizer: 0.0790
[(levelname)s] [Epoch 01] it=2280, time=2.077, generator: 0.7328, discriminator: 1.2149, regularizer: 0.0749
[(levelname)s] [Epoch 01] it=2290, time=2.096, generator: 0.7911, discriminator: 1.1971, regularizer: 0.0769
[(levelname)s] [Epoch 01] it=2300, time=2.084, generator: 0.6076, discriminator: 1.1604, regularizer: 0.0766
[(levelname)s] [Epoch 01] it=2310, time=2.089, generator: 0.6689, discriminator: 1.1581, regularizer: 0.0814
[(levelname)s] [Epoch 01] it=2320, time=2.090, generator: 0.7337, discriminator: 1.1504, regularizer: 0.0781
[(levelname)s] [Epoch 01] it=2330, time=2.092, generator: 0.6417, discriminator: 1.2152, regularizer: 0.0779
[(levelname)s] [Epoch 01] it=2340, time=2.078, generator: 0.6891, discriminator: 1.1554, regularizer: 0.0764
[(levelname)s] [Epoch 01] it=2350, time=2.079, generator: 0.7225, discriminator: 1.1779, regularizer: 0.0819
[(levelname)s] [Epoch 01] it=2360, time=2.077, generator: 0.6529, discriminator: 1.1627, regularizer: 0.0778
[(levelname)s] [Epoch 01] it=2370, time=2.080, generator: 0.7069, discriminator: 1.1906, regularizer: 0.0703
[(levelname)s] [Epoch 01] it=2380, time=2.092, generator: 0.6369, discriminator: 1.1910, regularizer: 0.0736
[(levelname)s] [Epoch 01] it=2390, time=2.085, generator: 0.7348, discriminator: 1.1758, regularizer: 0.0692
[(levelname)s] [Epoch 01] it=2400, time=2.091, generator: 0.7686, discriminator: 1.1856, regularizer: 0.0717
[(levelname)s] Visualizing
[(levelname)s] [Epoch 01] it=2410, time=2.177, generator: 0.6905, discriminator: 1.1593, regularizer: 0.0777
[(levelname)s] [Epoch 01] it=2420, time=2.080, generator: 0.6590, discriminator: 1.1968, regularizer: 0.0806
[(levelname)s] [Epoch 01] it=2430, time=2.071, generator: 0.7113, discriminator: 1.1298, regularizer: 0.0792
[(levelname)s] [Epoch 01] it=2440, time=2.087, generator: 0.6967, discriminator: 1.2123, regularizer: 0.0746
[(levelname)s] [Epoch 01] it=2450, time=2.087, generator: 0.7093, discriminator: 1.1832, regularizer: 0.0746
[(levelname)s] [Epoch 01] it=2460, time=2.079, generator: 0.6938, discriminator: 1.1568, regularizer: 0.0765
[(levelname)s] [Epoch 01] it=2470, time=2.082, generator: 0.8255, discriminator: 1.2279, regularizer: 0.0838
[(levelname)s] [Epoch 01] it=2480, time=2.084, generator: 0.6389, discriminator: 1.1858, regularizer: 0.0857
[(levelname)s] [Epoch 01] it=2490, time=2.080, generator: 0.6054, discriminator: 1.1243, regularizer: 0.0877
[(levelname)s] [Epoch 01] it=2500, time=2.089, generator: 0.7269, discriminator: 1.1361, regularizer: 0.0808
[(levelname)s] Saving checkpoint
[(levelname)s] [Epoch 01] it=2510, time=2.151, generator: 0.7394, discriminator: 1.1987, regularizer: 0.0793
[(levelname)s] [Epoch 01] it=2520, time=2.075, generator: 0.6689, discriminator: 1.1733, regularizer: 0.0756
[(levelname)s] [Epoch 01] it=2530, time=2.086, generator: 0.6738, discriminator: 1.1537, regularizer: 0.0736
[(levelname)s] [Epoch 01] it=2540, time=2.093, generator: 0.6983, discriminator: 1.1737, regularizer: 0.0722
[(levelname)s] [Epoch 01] it=2550, time=2.088, generator: 0.7308, discriminator: 1.1541, regularizer: 0.0784
[(levelname)s] [Epoch 01] it=2560, time=2.088, generator: 0.6831, discriminator: 1.1709, regularizer: 0.0799
[(levelname)s] [Epoch 01] it=2570, time=2.094, generator: 0.6576, discriminator: 1.1684, regularizer: 0.0836
[(levelname)s] [Epoch 01] it=2580, time=2.082, generator: 0.6652, discriminator: 1.1739, regularizer: 0.0920
[(levelname)s] [Epoch 01] it=2590, time=2.072, generator: 0.7161, discriminator: 1.2124, regularizer: 0.0739
[(levelname)s] [Epoch 01] it=2600, time=2.093, generator: 0.6472, discriminator: 1.1620, regularizer: 0.0825
[(levelname)s] Visualizing
[(levelname)s] [Epoch 01] it=2610, time=2.202, generator: 0.7695, discriminator: 1.2183, regularizer: 0.0731
[(levelname)s] [Epoch 01] it=2620, time=2.089, generator: 0.6200, discriminator: 1.1572, regularizer: 0.0734
[(levelname)s] [Epoch 01] it=2630, time=2.082, generator: 0.6916, discriminator: 1.1497, regularizer: 0.0839
[(levelname)s] [Epoch 01] it=2640, time=2.086, generator: 0.5617, discriminator: 1.1551, regularizer: 0.0823
[(levelname)s] [Epoch 01] it=2650, time=2.092, generator: 0.8127, discriminator: 1.2027, regularizer: 0.0737
[(levelname)s] [Epoch 01] it=2660, time=2.090, generator: 0.6360, discriminator: 1.1984, regularizer: 0.0810
[(levelname)s] [Epoch 01] it=2670, time=2.090, generator: 0.7677, discriminator: 1.1866, regularizer: 0.0813
[(levelname)s] [Epoch 01] it=2680, time=2.079, generator: 0.6540, discriminator: 1.1841, regularizer: 0.0762
[(levelname)s] [Epoch 01] it=2690, time=2.083, generator: 0.6358, discriminator: 1.1824, regularizer: 0.0772
[(levelname)s] [Epoch 01] it=2700, time=2.079, generator: 0.6424, discriminator: 1.1962, regularizer: 0.0824
[(levelname)s] [Epoch 01] it=2710, time=2.069, generator: 0.6881, discriminator: 1.1930, regularizer: 0.0774
[(levelname)s] [Epoch 01] it=2720, time=2.070, generator: 0.6140, discriminator: 1.1631, regularizer: 0.0883
[(levelname)s] [Epoch 01] it=2730, time=2.075, generator: 0.6555, discriminator: 1.1717, regularizer: 0.0704
[(levelname)s] [Epoch 01] it=2740, time=2.080, generator: 0.7520, discriminator: 1.1757, regularizer: 0.0772
[(levelname)s] [Epoch 01] it=2750, time=2.072, generator: 0.5700, discriminator: 1.2096, regularizer: 0.0753
[(levelname)s] [Epoch 01] it=2760, time=2.076, generator: 0.6261, discriminator: 1.1589, regularizer: 0.0826
