nohup: ignoring input
Start loading file addresses ...
done! time: 0.9919822216033936
Number of images found: 289508
Start loading file addresses ...
done! time: 1.0042247772216797
Number of images found: 289508
out/inverse_mask_complete_sigma_all/model.pt
=> Loading checkpoint from local file...
Loaded model checkpoint.
Current best validation metric (fid_score): 173.55682653
[(levelname)s] [Epoch 04] it=26280, time=2.255, generator: 0.6848, discriminator: 1.1993, regularizer: 0.0765
[(levelname)s] [Epoch 04] it=26290, time=2.265, generator: 0.6948, discriminator: 1.2313, regularizer: 0.0744
[(levelname)s] [Epoch 04] it=26300, time=2.265, generator: 0.6770, discriminator: 1.2262, regularizer: 0.0772
[(levelname)s] [Epoch 04] it=26310, time=2.283, generator: 0.7459, discriminator: 1.1991, regularizer: 0.0779
[(levelname)s] [Epoch 04] it=26320, time=2.265, generator: 0.7168, discriminator: 1.2385, regularizer: 0.0775
[(levelname)s] [Epoch 04] it=26330, time=2.267, generator: 0.6228, discriminator: 1.2365, regularizer: 0.0738
[(levelname)s] [Epoch 04] it=26340, time=2.281, generator: 0.7392, discriminator: 1.2126, regularizer: 0.0746
[(levelname)s] [Epoch 04] it=26350, time=2.280, generator: 0.7145, discriminator: 1.1890, regularizer: 0.0715
[(levelname)s] [Epoch 04] it=26360, time=2.257, generator: 0.6487, discriminator: 1.2194, regularizer: 0.0766
[(levelname)s] [Epoch 04] it=26370, time=2.291, generator: 0.7045, discriminator: 1.1996, regularizer: 0.0773
[(levelname)s] [Epoch 04] it=26380, time=2.282, generator: 0.6367, discriminator: 1.2290, regularizer: 0.0735
[(levelname)s] [Epoch 04] it=26390, time=2.247, generator: 0.7061, discriminator: 1.2165, regularizer: 0.0747
[(levelname)s] [Epoch 04] it=26400, time=2.255, generator: 0.7117, discriminator: 1.1981, regularizer: 0.0740
[(levelname)s] Visualizing
[(levelname)s] [Epoch 04] it=26410, time=2.448, generator: 0.7800, discriminator: 1.2240, regularizer: 0.0736
[(levelname)s] [Epoch 04] it=26420, time=2.275, generator: 0.6386, discriminator: 1.2258, regularizer: 0.0698
[(levelname)s] [Epoch 04] it=26430, time=2.278, generator: 0.7031, discriminator: 1.2092, regularizer: 0.0736
[(levelname)s] [Epoch 04] it=26440, time=2.259, generator: 0.6471, discriminator: 1.2272, regularizer: 0.0757
[(levelname)s] [Epoch 04] it=26450, time=2.257, generator: 0.6236, discriminator: 1.2224, regularizer: 0.0718
[(levelname)s] [Epoch 04] it=26460, time=2.282, generator: 0.7364, discriminator: 1.1935, regularizer: 0.0758
[(levelname)s] [Epoch 04] it=26470, time=2.259, generator: 0.6433, discriminator: 1.2275, regularizer: 0.0764
