nohup: ignoring input
Start loading file addresses ...
done! time: 0.9888582229614258
Number of images found: 289508
Start loading file addresses ...
done! time: 1.103104591369629
Number of images found: 289508
No model checkpoint found.
Current best validation metric (fid_score): inf
[(levelname)s] [Epoch 00] it=1120, time=2.395, generator: 0.8035, discriminator: 1.1754, regularizer: 0.0729
[(levelname)s] [Epoch 00] it=1130, time=2.304, generator: 0.6749, discriminator: 1.1978, regularizer: 0.0853
[(levelname)s] [Epoch 00] it=1140, time=2.316, generator: 0.6331, discriminator: 1.1455, regularizer: 0.0768
[(levelname)s] [Epoch 00] it=1150, time=2.282, generator: 0.7433, discriminator: 1.1589, regularizer: 0.0691
[(levelname)s] [Epoch 00] it=1160, time=2.302, generator: 0.7404, discriminator: 1.1709, regularizer: 0.0781
[(levelname)s] [Epoch 00] it=1170, time=2.330, generator: 0.6583, discriminator: 1.1577, regularizer: 0.0781
[(levelname)s] [Epoch 00] it=1180, time=2.307, generator: 0.7561, discriminator: 1.1630, regularizer: 0.0754
[(levelname)s] [Epoch 00] it=1190, time=2.389, generator: 0.8017, discriminator: 1.1952, regularizer: 0.0827
[(levelname)s] [Epoch 00] it=1200, time=2.369, generator: 0.6589, discriminator: 1.1841, regularizer: 0.0764
[(levelname)s] Visualizing
[(levelname)s] [Epoch 00] it=1210, time=2.520, generator: 0.7002, discriminator: 1.1697, regularizer: 0.0742
[(levelname)s] [Epoch 00] it=1220, time=2.321, generator: 0.7086, discriminator: 1.1426, regularizer: 0.0803
[(levelname)s] [Epoch 00] it=1230, time=2.363, generator: 0.6438, discriminator: 1.1717, regularizer: 0.0835
[(levelname)s] [Epoch 00] it=1240, time=2.283, generator: 0.6276, discriminator: 1.1697, regularizer: 0.0846
[(levelname)s] [Epoch 00] it=1250, time=2.345, generator: 0.7608, discriminator: 1.2085, regularizer: 0.0863
[(levelname)s] [Epoch 00] it=1260, time=2.292, generator: 0.6274, discriminator: 1.1612, regularizer: 0.0774
[(levelname)s] [Epoch 00] it=1270, time=2.341, generator: 0.7276, discriminator: 1.1859, regularizer: 0.0797
[(levelname)s] [Epoch 00] it=1280, time=2.368, generator: 0.7106, discriminator: 1.1666, regularizer: 0.0762
[(levelname)s] [Epoch 00] it=1290, time=2.321, generator: 0.6887, discriminator: 1.1719, regularizer: 0.0808
[(levelname)s] [Epoch 00] it=1300, time=2.314, generator: 0.7225, discriminator: 1.1618, regularizer: 0.0760
[(levelname)s] [Epoch 00] it=1310, time=2.306, generator: 0.6569, discriminator: 1.1598, regularizer: 0.0755
[(levelname)s] [Epoch 00] it=1320, time=2.323, generator: 0.7532, discriminator: 1.1576, regularizer: 0.0928
[(levelname)s] [Epoch 00] it=1330, time=2.299, generator: 0.6430, discriminator: 1.1815, regularizer: 0.0744
