nohup: ignoring input
Start loading file addresses ...
done! time: 0.9916117191314697
Number of images found: 289508
No model checkpoint found.
Current best validation metric (fid_score): inf
[(levelname)s] [Epoch 00] it=920, time=7.118, generator: 0.7048, generator_static: 0.6878, discriminator: 1.2825, regularizer: 0.0365, pose_estimator: 0.1234
[(levelname)s] [Epoch 00] it=930, time=7.077, generator: 0.8200, generator_static: 0.7759, discriminator: 1.3036, regularizer: 0.0366, pose_estimator: 0.1187
[(levelname)s] [Epoch 00] it=940, time=7.126, generator: 0.6842, generator_static: 0.6652, discriminator: 1.2658, regularizer: 0.0378, pose_estimator: 0.1241
[(levelname)s] [Epoch 00] it=950, time=7.103, generator: 0.7355, generator_static: 0.7120, discriminator: 1.2694, regularizer: 0.0420, pose_estimator: 0.1176
[(levelname)s] [Epoch 00] it=960, time=7.117, generator: 0.7011, generator_static: 0.6847, discriminator: 1.2887, regularizer: 0.0406, pose_estimator: 0.1192
[(levelname)s] [Epoch 00] it=970, time=7.150, generator: 0.6808, generator_static: 0.6784, discriminator: 1.2594, regularizer: 0.0352, pose_estimator: 0.1177
[(levelname)s] [Epoch 00] it=980, time=7.188, generator: 0.7957, generator_static: 0.7395, discriminator: 1.3015, regularizer: 0.0429, pose_estimator: 0.1257
[(levelname)s] [Epoch 00] it=990, time=7.166, generator: 0.6706, generator_static: 0.6674, discriminator: 1.2647, regularizer: 0.0389, pose_estimator: 0.1177
[(levelname)s] [Epoch 00] it=1000, time=7.225, generator: 0.6772, generator_static: 0.6619, discriminator: 1.3239, regularizer: 0.0374, pose_estimator: 0.1175
[(levelname)s] Visualizing
[(levelname)s] Saving checkpoint
[(levelname)s] [Epoch 00] it=1010, time=7.480, generator: 0.7575, generator_static: 0.6447, discriminator: 1.3347, regularizer: 0.0390, pose_estimator: 0.1214
[(levelname)s] [Epoch 00] it=1020, time=7.174, generator: 0.7330, generator_static: 0.7177, discriminator: 1.2792, regularizer: 0.0416, pose_estimator: 0.1127
[(levelname)s] [Epoch 00] it=1030, time=7.055, generator: 0.6884, generator_static: 0.6737, discriminator: 1.2677, regularizer: 0.0455, pose_estimator: 0.1175
[(levelname)s] [Epoch 00] it=1040, time=7.119, generator: 0.6869, generator_static: 0.6845, discriminator: 1.2829, regularizer: 0.0433, pose_estimator: 0.1128
[(levelname)s] [Epoch 00] it=1050, time=7.146, generator: 0.6685, generator_static: 0.6439, discriminator: 1.2864, regularizer: 0.0396, pose_estimator: 0.1082
[(levelname)s] [Epoch 00] it=1060, time=7.077, generator: 0.7584, generator_static: 0.7129, discriminator: 1.3405, regularizer: 0.0444, pose_estimator: 0.1164
[(levelname)s] [Epoch 00] it=1070, time=7.231, generator: 0.7503, generator_static: 0.7198, discriminator: 1.2921, regularizer: 0.0373, pose_estimator: 0.1180
[(levelname)s] [Epoch 00] it=1080, time=7.206, generator: 0.6876, generator_static: 0.6927, discriminator: 1.2707, regularizer: 0.0396, pose_estimator: 0.1175
[(levelname)s] [Epoch 00] it=1090, time=7.151, generator: 0.7389, generator_static: 0.7157, discriminator: 1.2855, regularizer: 0.0440, pose_estimator: 0.1128
[(levelname)s] [Epoch 00] it=1100, time=7.191, generator: 0.6745, generator_static: 0.6694, discriminator: 1.2735, regularizer: 0.0441, pose_estimator: 0.1128
[(levelname)s] [Epoch 00] it=1110, time=7.210, generator: 0.7427, generator_static: 0.7268, discriminator: 1.2896, regularizer: 0.0438, pose_estimator: 0.1086
[(levelname)s] [Epoch 00] it=1120, time=7.136, generator: 0.6607, generator_static: 0.6479, discriminator: 1.2751, regularizer: 0.0424, pose_estimator: 0.1079
[(levelname)s] [Epoch 00] it=1130, time=7.179, generator: 0.7008, generator_static: 0.6802, discriminator: 1.2843, regularizer: 0.0406, pose_estimator: 0.1160
[(levelname)s] [Epoch 00] it=1140, time=7.149, generator: 0.8086, generator_static: 0.7537, discriminator: 1.2997, regularizer: 0.0415, pose_estimator: 0.1081
[(levelname)s] [Epoch 00] it=1150, time=7.186, generator: 0.6996, generator_static: 0.6992, discriminator: 1.3007, regularizer: 0.0408, pose_estimator: 0.1201
[(levelname)s] [Epoch 00] it=1160, time=7.204, generator: 0.7976, generator_static: 0.7641, discriminator: 1.3198, regularizer: 0.0438, pose_estimator: 0.1167
[(levelname)s] [Epoch 00] it=1170, time=7.219, generator: 0.8719, generator_static: 0.7716, discriminator: 1.3272, regularizer: 0.0463, pose_estimator: 0.1069
[(levelname)s] [Epoch 00] it=1180, time=7.220, generator: 0.7260, generator_static: 0.7174, discriminator: 1.3061, regularizer: 0.0434, pose_estimator: 0.1095
