nohup: ignoring input
Start loading file addresses ...
done! time: 0.9651718139648438
Number of images found: 289508
out/human_encoder/model.pt
=> Loading checkpoint from local file...
Loaded model checkpoint.
Current best validation metric (fid_score): inf
[(levelname)s] [Epoch 01] it=870, time=4.683, generator: 0.6424, discriminator: 1.1766, regularizer: 0.0736, pose_estimator: 0.0260
[(levelname)s] [Epoch 01] it=880, time=4.667, generator: 0.6542, discriminator: 1.1711, regularizer: 0.0801, pose_estimator: 0.0255
[(levelname)s] [Epoch 01] it=890, time=4.712, generator: 0.6359, discriminator: 1.1697, regularizer: 0.0804, pose_estimator: 0.0260
[(levelname)s] [Epoch 01] it=900, time=4.692, generator: 0.6064, discriminator: 1.2274, regularizer: 0.0836, pose_estimator: 0.0256
[(levelname)s] [Epoch 01] it=910, time=4.665, generator: 0.7106, discriminator: 1.1076, regularizer: 0.0829, pose_estimator: 0.0252
[(levelname)s] [Epoch 01] it=920, time=4.693, generator: 0.7305, discriminator: 1.1779, regularizer: 0.0825, pose_estimator: 0.0253
[(levelname)s] [Epoch 01] it=930, time=4.703, generator: 0.6458, discriminator: 1.1668, regularizer: 0.0781, pose_estimator: 0.0255
[(levelname)s] [Epoch 01] it=940, time=4.665, generator: 0.8298, discriminator: 1.2308, regularizer: 0.0752, pose_estimator: 0.0249
[(levelname)s] [Epoch 01] it=950, time=4.690, generator: 0.7077, discriminator: 1.1704, regularizer: 0.0806, pose_estimator: 0.0252
[(levelname)s] [Epoch 01] it=960, time=4.694, generator: 0.7169, discriminator: 1.1614, regularizer: 0.0814, pose_estimator: 0.0253
[(levelname)s] [Epoch 01] it=970, time=4.722, generator: 0.6267, discriminator: 1.2079, regularizer: 0.0742, pose_estimator: 0.0252
[(levelname)s] [Epoch 01] it=980, time=4.708, generator: 0.7271, discriminator: 1.1982, regularizer: 0.0850, pose_estimator: 0.0249
[(levelname)s] [Epoch 01] it=990, time=4.695, generator: 0.7903, discriminator: 1.2284, regularizer: 0.0641, pose_estimator: 0.0266
[(levelname)s] [Epoch 01] it=1000, time=4.741, generator: 0.7369, discriminator: 1.1825, regularizer: 0.0811, pose_estimator: 0.0255
[(levelname)s] Visualizing
[(levelname)s] Saving checkpoint
[(levelname)s] [Epoch 01] it=1010, time=4.981, generator: 0.6306, discriminator: 1.2088, regularizer: 0.0765, pose_estimator: 0.0254
[(levelname)s] [Epoch 01] it=1020, time=4.702, generator: 0.6762, discriminator: 1.1775, regularizer: 0.0780, pose_estimator: 0.0251
[(levelname)s] [Epoch 01] it=1030, time=4.691, generator: 0.7560, discriminator: 1.1703, regularizer: 0.0683, pose_estimator: 0.0250
[(levelname)s] [Epoch 01] it=1040, time=4.664, generator: 0.7127, discriminator: 1.1439, regularizer: 0.0792, pose_estimator: 0.0249
[(levelname)s] [Epoch 01] it=1050, time=4.704, generator: 0.6482, discriminator: 1.1905, regularizer: 0.0764, pose_estimator: 0.0250
[(levelname)s] [Epoch 01] it=1060, time=4.696, generator: 0.6743, discriminator: 1.2058, regularizer: 0.0739, pose_estimator: 0.0251
[(levelname)s] [Epoch 01] it=1070, time=4.684, generator: 0.6973, discriminator: 1.1581, regularizer: 0.0780, pose_estimator: 0.0256
[(levelname)s] [Epoch 01] it=1080, time=4.665, generator: 0.7088, discriminator: 1.1892, regularizer: 0.0671, pose_estimator: 0.0246
[(levelname)s] [Epoch 01] it=1090, time=4.740, generator: 0.6731, discriminator: 1.2223, regularizer: 0.0687, pose_estimator: 0.0244
[(levelname)s] [Epoch 01] it=1100, time=4.728, generator: 0.7080, discriminator: 1.1612, regularizer: 0.0801, pose_estimator: 0.0244
[(levelname)s] [Epoch 01] it=1110, time=4.724, generator: 0.6666, discriminator: 1.1711, regularizer: 0.0740, pose_estimator: 0.0245
[(levelname)s] [Epoch 01] it=1120, time=4.692, generator: 0.7060, discriminator: 1.1847, regularizer: 0.0744, pose_estimator: 0.0243
[(levelname)s] [Epoch 01] it=1130, time=4.690, generator: 0.6046, discriminator: 1.2508, regularizer: 0.0850, pose_estimator: 0.0245
[(levelname)s] [Epoch 01] it=1140, time=4.690, generator: 0.6094, discriminator: 1.1799, regularizer: 0.0758, pose_estimator: 0.0247
